user,userId,userUrl,publicId,submissionUrl,deleted
"fvictorio","417134","https://github.com/fvictorio","0x112591b44eb497c090906f7ce9364b7e87032361d3c87c1c3859dbcd6d6199fb","https://gist.github.com/664f83eddbedee58809fa1927aa85589","undefined"
"mhluongo","427505","https://github.com/mhluongo","0x059c21e080e00802736c0b5518acd7184b4ebdb99f475fc7e3898677d7c6fa2a","https://gist.github.com/cae85073ec850d748ec69435767f2b29","undefined"
"willscott","428199","https://github.com/willscott","0x2033f6937322d125f270e853e06a3c35e9128cc242fd22d351066f0f30e69c5b","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086178102","undefined"
"spalladino","429604","https://github.com/spalladino","0x162d2e820522e33a9b28da6dd412b7ecc14b19bdd30d5d65c9068e505fdc826d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1089332161","undefined"
"izqui","447328","https://github.com/izqui","0x2288243d0c9355a9a436998f104ded893e0ae2513e72f4e287933e98a1480c04","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086007891","undefined"
"antonydenyer","469160","https://github.com/antonydenyer","0x0d921102c1fc54f780063c937ee61528c32a167d1bf1447e9ad454c8ecc49396","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085902680","undefined"
"frangio","481465","https://github.com/frangio","0x09cd18d17c48a9e5f7919dbb8267cbc0f9c75e95a3c94f9c4f910edaf90c2db6","https://gist.github.com/f449b2b0a45b06a6643bcbc2dfe26e52","undefined"
"dizzy","484415","https://github.com/dizzy","0x086bc12786b8b78c040c17a33ce17fcb103df2a3b460521bc77bdaa6f6557874","https://gist.github.com/37389db31768589667cd591b8cea02ed","undefined"
"kasey","489222","https://github.com/kasey","0x139e03fa5c3807860bda1c769906df824e0155e01cc7e5127ca3baccf7b995b1","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086472006","undefined"
"asanso","494825","https://github.com/asanso","0x15406cefab3a8781e5ad3d0499c3781fefa01786721e2128e0c6edb8a09ee986","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085741537","undefined"
"tkstanczak","498913","https://github.com/tkstanczak","0x1e5b9d5e4d563ede0cba7aa31a0d814213b0d1d90529490168659c4313d8b1d6","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086189160","undefined"
"leonardoalt","504195","https://github.com/leonardoalt","0x12a6ba34023bf553d8700b2b05737111a3cc19dd7842910e1f3b771278873f2e","https://gist.github.com/5f2ff33a6afa1d84eaee491b42ed3e3c","undefined"
"joyious","504453","https://github.com/joyious","0x0fd8cc782c33e572079d28e7af7e51178c05bb968218933a04a5853a9d20cf97","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1089980341","true"
"Vernsu","509224","https://github.com/Vernsu","0x2c048e820a7a13561b4c7754fcdf88235f00e90fb9b1afcb3e41b8ecd58f787a","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085402435","true"
"mcdee","511384","https://github.com/mcdee","0x0e1c5d6c68d4b9992a48c5c5dc87399de0cb57b0628b7456c8589f680ca19fe3","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086566462","undefined"
"owocki","513929","https://github.com/owocki","0x103322107eb5beabef0704999741c3693870346204ef72fd44b8ecf812828120","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085286006","undefined"
"Scooletz","519707","https://github.com/Scooletz","0x1cfddb0aee783b81fd2c58f4f5196e440597a54c2ddfb7472e6750f9d9b3b634","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086567180","undefined"
"cburgdorf","521109","https://github.com/cburgdorf","0x2330232b1ca598be467290b6eed95693c31872ee8f73a8d5b79449cb4ea2b549","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086927463","undefined"
"jfschwarz","524089","https://github.com/jfschwarz","0x1622e3f9b3aa61c723ffb4c791cebb81fbb48233915b8ca0127573865602a739","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085533972","undefined"
"timjrobinson","525534","https://github.com/timjrobinson","0x237171ac0d958dbfcca41954f0f5386e480d39ac0e0f19f0bf629de96620f4e0","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085389141","undefined"
"cleanunicorn","547012","https://github.com/cleanunicorn","0x2dd1146b80eedbae69a079f6777787e39c70f04213e9165f586e37f35af3d6cd","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094089379","undefined"
"chfast","573380","https://github.com/chfast","0x0cdb4a73cf2f77dcdbdfc1b3d81f386b2247222990559b19eeaefa3c41148149","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088049310","undefined"
"sk-holmes","574933","https://github.com/sk-holmes","0x0ebf9129dd6ee27415660bf9401d1a77463a8dc190293638d77688c327f2f2c0","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085425837","true"
"640774n6","577747","https://github.com/640774n6","0x266d2bfc620908aabfde7c09bc92e0a5740240fd52c091e8682685a9a512feeb","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085390960","undefined"
"andrevmatos","587021","https://github.com/andrevmatos","0x103e5db370e8ea4a6792125c07751b98148fba75ffe864dcc2538a056ac877d3","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088622376","undefined"
"hexonaut","588921","https://github.com/hexonaut","0x116950a4f8fc79c484d101d224f8594661368cb6a7c936de6d0b456da810fa05","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087819146","undefined"
"snadorp","609348","https://github.com/snadorp","0x0898b35fae12659a0eb5db98737cd8dbf8c2628d1dddbec0d8c2d8805667df01","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087478198","true"
"alongoni","622217","https://github.com/alongoni","0x16a9717c0b89a4104e546b33df3094ca316d1465aa8c132888c3b3ef4de181f9","https://gist.github.com/c69f9ab18cedf432f7f944bf14e63aa9","undefined"
"bvalosek","644088","https://github.com/bvalosek","0x3060200de631cb49192066ce632b44e428c6d1ae14bac18bd24b3de66b60136c","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085433977","undefined"
"AFDudley","660650","https://github.com/AFDudley","0x155d3af47e7693d571116c29cfce977c1ca8b4e1214295ac0b401c4c4a13aaf1","https://gist.github.com/5609424e6d97f1a4f2bbc099abb2397d","undefined"
"Nipol","693461","https://github.com/Nipol","0x00efe93e5c1ffdc2ba11e1f181205a37b6fa0b23d6f5d1233df24fa84ff90761","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085407006","undefined"
"bingen","701095","https://github.com/bingen","0x28177c55d4972249880187275f93378d699f1bd44794c877656fd94d86005f9d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086261557","undefined"
"nateawelch","706153","https://github.com/nateawelch","0x0428e10f3c74f65512861178d747b95e026bfc7afde3a7e00c82e4bb06b4f087","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086903129","undefined"
"yoavw","708945","https://github.com/yoavw","0x0ea38640b0d817a3b14b01579de810652a1a4429c227ce7ddb3b99f18abcfe05","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086430529","undefined"
"JustinDrake","731743","https://github.com/JustinDrake","0x19904ac0ea5cde3250b6f642a1574edb2e164ccc5c475809164be8e4a5bb46d1","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086303683","undefined"
"mrrobot16","761735","https://github.com/mrrobot16","0x24e94046e2972686383aeb9036ce2f8fe91ae57bf47623b362146e6c57561fd3","https://gist.github.com/62639fc52df1c2e27eaef1b08eda8f5b","undefined"
"jiguang","780491","https://github.com/jiguang","0x2d5e942f3ff3d7278786149388c60f6c3dda0318263e02049ca964d4830de7f7","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085303943","true"
"wighawag","790580","https://github.com/wighawag","0x14239926414769f216664efbcb5e5a12b17b7de99e32b2c9e2322652ebc7e5db","https://gist.github.com/2bc44cf7c31b5402e78eb7a82a129a36","undefined"
"dignifiedquire","790842","https://github.com/dignifiedquire","0x0ed7cc5318214ecf5b3c869c717c6e008683ca81be425e7dac99286f6980b791","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086079305","undefined"
"maximebedard","801405","https://github.com/maximebedard","0x2abac95f596243e2a9d438b762b659ffb8d3b35f4ecc746fb21c7c95d758bf04","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087599090","true"
"saltyfacu","839844","https://github.com/saltyfacu","0x242b84fe4163491bf4be209df3ec019db7ba510a65e8b4289c45279c2acf75e2","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085231638","undefined"
"danlipert","869266","https://github.com/danlipert","0x23a363e5a3dd3c0231b03115820223fc3a61fbbbca447e626290b2cafd6e6990","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085547762","undefined"
"bulbozaur","870356","https://github.com/bulbozaur","0x2a38b67b5a0c840604bb92b69956d13cff34fe093e42a56f863b3275455d90c6","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088691294","undefined"
"jframe","909467","https://github.com/jframe","0x26b59cf1feb5460327b420847cd757b9bf0efbc5b304c240fdb87fdd0623208d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1089762979","undefined"
"colfax23","914240","https://github.com/colfax23","0x01cec16f705d5401603d3d186fc7d8be8b6cda8192c5c175dda3267d82d48a43","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087591161","undefined"
"icepat","944428","https://github.com/icepat","0x175953ff5c15bc6f854c3faa2af2f7ca5fd27482f62e5e78c168a004b5c70bc6","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086223716","true"
"TheDZhon","961317","https://github.com/TheDZhon","0x1ade66bd7f91240229f1432c3b5424208640266df84fc54782f0dd05010c18de","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1090093761","undefined"
"alphastorm","972382","https://github.com/alphastorm","0x1e2a52000f69a04a16e05eb3eb5ccf8e9709cca3fff4dad01070c435cef4a4f9","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085375537","undefined"
"monkeybape","988207","https://github.com/monkeybape","0x1a24ba3189fe0aa80a8d82a59147ac0cb0ee5cadeceab228b35b76b38fc9254b","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086245708","true"
"zannis","1011451","https://github.com/zannis","0x170e843f0711217b9154ad2a5030e87384edea53036669b8983552584641d57e","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088335262","undefined"
