user,userId,userUrl,publicId,submissionUrl
"cburgdorf","521109","https://github.com/cburgdorf","0x2330232b1ca598be467290b6eed95693c31872ee8f73a8d5b79449cb4ea2b549","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086927463"
"jfschwarz","524089","https://github.com/jfschwarz","0x1622e3f9b3aa61c723ffb4c791cebb81fbb48233915b8ca0127573865602a739","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085533972"
"timjrobinson","525534","https://github.com/timjrobinson","0x237171ac0d958dbfcca41954f0f5386e480d39ac0e0f19f0bf629de96620f4e0","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085389141"
"cleanunicorn","547012","https://github.com/cleanunicorn","0x2dd1146b80eedbae69a079f6777787e39c70f04213e9165f586e37f35af3d6cd","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094089379"
"chfast","573380","https://github.com/chfast","0x0cdb4a73cf2f77dcdbdfc1b3d81f386b2247222990559b19eeaefa3c41148149","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088049310"
"640774n6","577747","https://github.com/640774n6","0x266d2bfc620908aabfde7c09bc92e0a5740240fd52c091e8682685a9a512feeb","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085390960"
"andrevmatos","587021","https://github.com/andrevmatos","0x103e5db370e8ea4a6792125c07751b98148fba75ffe864dcc2538a056ac877d3","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088622376"
"hexonaut","588921","https://github.com/hexonaut","0x116950a4f8fc79c484d101d224f8594661368cb6a7c936de6d0b456da810fa05","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087819146"
"alongoni","622217","https://github.com/alongoni","0x16a9717c0b89a4104e546b33df3094ca316d1465aa8c132888c3b3ef4de181f9","https://gist.github.com/c69f9ab18cedf432f7f944bf14e63aa9"
"bvalosek","644088","https://github.com/bvalosek","0x3060200de631cb49192066ce632b44e428c6d1ae14bac18bd24b3de66b60136c","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085433977"
"Nipol","693461","https://github.com/Nipol","0x00efe93e5c1ffdc2ba11e1f181205a37b6fa0b23d6f5d1233df24fa84ff90761","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085407006"
"bingen","701095","https://github.com/bingen","0x28177c55d4972249880187275f93378d699f1bd44794c877656fd94d86005f9d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086261557"
"nateawelch","706153","https://github.com/nateawelch","0x0428e10f3c74f65512861178d747b95e026bfc7afde3a7e00c82e4bb06b4f087","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086903129"
"yoavw","708945","https://github.com/yoavw","0x0ea38640b0d817a3b14b01579de810652a1a4429c227ce7ddb3b99f18abcfe05","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086430529"
"JustinDrake","731743","https://github.com/JustinDrake","0x19904ac0ea5cde3250b6f642a1574edb2e164ccc5c475809164be8e4a5bb46d1","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086303683"
"wighawag","790580","https://github.com/wighawag","0x14239926414769f216664efbcb5e5a12b17b7de99e32b2c9e2322652ebc7e5db","https://gist.github.com/2bc44cf7c31b5402e78eb7a82a129a36"
"dignifiedquire","790842","https://github.com/dignifiedquire","0x0ed7cc5318214ecf5b3c869c717c6e008683ca81be425e7dac99286f6980b791","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086079305"
"saltyfacu","839844","https://github.com/saltyfacu","0x242b84fe4163491bf4be209df3ec019db7ba510a65e8b4289c45279c2acf75e2","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085231638"
"danlipert","869266","https://github.com/danlipert","0x23a363e5a3dd3c0231b03115820223fc3a61fbbbca447e626290b2cafd6e6990","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085547762"
"bulbozaur","870356","https://github.com/bulbozaur","0x2a38b67b5a0c840604bb92b69956d13cff34fe093e42a56f863b3275455d90c6","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088691294"
"jframe","909467","https://github.com/jframe","0x26b59cf1feb5460327b420847cd757b9bf0efbc5b304c240fdb87fdd0623208d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1089762979"
"colfax23","914240","https://github.com/colfax23","0x01cec16f705d5401603d3d186fc7d8be8b6cda8192c5c175dda3267d82d48a43","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087591161"
"TheDZhon","961317","https://github.com/TheDZhon","0x1ade66bd7f91240229f1432c3b5424208640266df84fc54782f0dd05010c18de","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1090093761"
"alphastorm","972382","https://github.com/alphastorm","0x1e2a52000f69a04a16e05eb3eb5ccf8e9709cca3fff4dad01070c435cef4a4f9","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085375537"
"zannis","1011451","https://github.com/zannis","0x170e843f0711217b9154ad2a5030e87384edea53036669b8983552584641d57e","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088335262"
"czepluch","1026799","https://github.com/czepluch","0x2070b5575536ca399cd6616710511708564008e8a5ebd6d06b46bdc579a62373","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088524395"
"hsanjuan","1027022","https://github.com/hsanjuan","0x2b06dcd5da2df4df62441e5fa094673c9a8f9c3052256e5b7cfaf61a466b12e7","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087323524"
"expede","1052016","https://github.com/expede","0x2d3372228544079862a46b3a0ecad785bb5e54df69aae7894cc3a6d404488796","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086736028"
"rfikki","1055929","https://github.com/rfikki","0x16b2531a2a482fb7ab12540a9352e198aedc657dd8e96fece714e73b0ac73e1d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1089041968"
"raulk","1101242","https://github.com/raulk","0x227fbd0294619ecf8c5dac378d2e91ee93f503c72ffbffd739251ccfa87cc090","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086154728"
"pkattera","1121139","https://github.com/pkattera","0x1aaedf631b3acd01bb1d428c1b00d8eb7a6befc4533f10372252a8d91ab19b80","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087962504"
"ecmendenhall","1131633","https://github.com/ecmendenhall","0x06ddd022e1c98d103b7e9a4e848e3e861649931c50140802976d2ca4015f8dcd","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085419045"
